# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Oct 26 19:48:36 SAST 2017
#
At utterance begin, sil accounts for 83.1% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.1,40) frames.
Overall, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,11) frames.
Overall, f_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,13) frames.
Overall, ch_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,19) frames.
Overall, k_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,20) frames.
Overall, d_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,10) frames.
Overall, l_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,8) frames.
Overall, eh_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,12) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,9) frames.
Overall, b_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,8) frames.
Overall, k_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,15) frames.
Overall, w_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,16) frames.
Overall, uw_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,5) frames.
Overall, z_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,17) frames.
Overall, ih_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,8) frames.
Overall, b_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.1,9) frames.
Overall, n_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,9) frames.
Overall, ao_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,19) frames.
Overall, l_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,17) frames.
Overall, ng_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,11) frames.
Overall, m_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,10) frames.
Overall, uw_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.5,26) frames.
Overall, y_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, er_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.8,19) frames.
Overall, ah_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.6,13) frames.
Overall, p_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,9) frames.
Overall, r_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.6,6) frames.
Overall, d_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,5) frames.
The optional-silence phone sil occupies 37.9% of frames overall 
Limiting the stats to the 61.2% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 0.2% of frames.
Assuming 100 frames per second, the alignments represent 0.2 hours of data, or 0.1 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 0.4% of utterance-internal phones, with duration (median, mean, 95-percentile) = (5,5.0,7)
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Oct 26 19:48:36 SAST 2017, elapsed time 0 seconds
